word,set,concreteness,conc_category
truck,added,4.84,Very Concrete
truly,added,1.62,Very Abstract
twice,added,2.93,Abstract
twin,added,4.17,Concrete
typical,added,1.52,Very Abstract
typically,added,1.67,Very Abstract
ultimately,added,1.26,Very Abstract
unable,added,1.77,Very Abstract
uncertainty,added,1.75,Very Abstract
unclear,added,2.39,Abstract
undergo,added,2.41,Abstract
underlie,added,1.96,Very Abstract
undertake,added,1.71,Very Abstract
unemployment,added,3.11,Moderate
unfortunately,added,1.62,Very Abstract
uniform,added,4.67,Very Concrete
unique,added,1.89,Very Abstract
unknown,added,1.47,Very Abstract
unlike,added,2.67,Abstract
unlikely,added,1.93,Very Abstract
unusual,added,2.21,Abstract
update,added,2.79,Abstract
urban,added,3.43,Moderate
useful,added,2.14,Abstract
user,added,3.16,Moderate
usually,added,2.04,Abstract
van,added,4.72,Very Concrete
variable,added,2.24,Abstract
variation,added,2.46,Abstract
vary,added,1.93,Very Abstract
vast,added,2.10,Abstract
vegetable,added,4.89,Very Concrete
vehicle,added,4.64,Very Concrete
venture,added,2.60,Abstract
version,added,1.70,Very Abstract
versus,added,1.86,Very Abstract
veteran,added,4.58,Very Concrete
via,added,1.79,Very Abstract
vice,added,2.46,Abstract
victim,added,3.59,Moderate
video,added,4.67,Very Concrete
virtually,added,2.00,Very Abstract
virus,added,3.48,Moderate
visible,added,3.08,Moderate
vision,added,3.39,Moderate
visual,added,2.96,Abstract
vital,added,1.93,Very Abstract
volume,added,3.07,Moderate
voluntary,added,2.21,Abstract
volunteer,added,3.77,Moderate
voter,added,3.93,Moderate
weakness,added,2.59,Abstract
wealthy,added,2.73,Abstract
web,added,4.37,Concrete
website,added,4.52,Very Concrete
wed,added,3.11,Moderate
weekly,added,3.28,Moderate
weird,added,1.59,Very Abstract
welfare,added,2.57,Abstract
whereas,added,1.46,Very Abstract
whilst,added,1.85,Very Abstract
widely,added,2.21,Abstract
winner,added,3.21,Moderate
withdraw,added,3.04,Moderate
wonderful,added,1.82,Very Abstract
worker,added,4.59,Very Concrete
writer,added,4.32,Concrete
yeah,added,1.89,Very Abstract
yourself,added,4.39,Concrete
zone,added,3.07,Moderate
absent,removed,2.70,Abstract
accustom,removed,1.48,Very Abstract
ache,removed,3.43,Moderate
actress,removed,4.54,Very Concrete
admission,removed,2.83,Abstract
adoption,removed,3.03,Moderate
agriculture,removed,3.67,Moderate
airplane,removed,4.96,Very Concrete
alike,removed,2.38,Abstract
allowance,removed,3.07,Moderate
aloud,removed,3.10,Moderate
ambition,removed,1.74,Very Abstract
ambitious,removed,1.81,Very Abstract
amongst,removed,2.81,Abstract
amuse,removed,2.57,Abstract
annoy,removed,1.93,Very Abstract
annoyance,removed,2.14,Abstract
anyhow,removed,1.48,Very Abstract
apology,removed,2.86,Abstract
applaud,removed,3.80,Moderate
applause,removed,4.29,Concrete
apple,removed,5.00,Very Concrete
arch,removed,4.59,Very Concrete
arrow,removed,4.97,Very Concrete
artificial,removed,2.93,Abstract
ash,removed,4.96,Very Concrete
asleep,removed,3.71,Moderate
astonish,removed,1.70,Very Abstract
attentive,removed,1.78,Very Abstract
avenue,removed,4.00,Moderate
avoidance,removed,1.86,Very Abstract
awake,removed,3.32,Moderate
awkward,removed,2.00,Very Abstract
axe,removed,5.00,Very Concrete
backward,removed,3.41,Moderate
baggage,removed,4.43,Concrete
bake,removed,4.21,Concrete
barber,removed,4.59,Very Concrete
bare,removed,3.21,Moderate
bargain,removed,2.59,Abstract
barrel,removed,4.86,Very Concrete
basin,removed,4.63,Very Concrete
basket,removed,5.00,Very Concrete
bathe,removed,4.19,Concrete
bay,removed,4.81,Very Concrete
beak,removed,4.96,Very Concrete
beam,removed,3.96,Moderate
bean,removed,5.00,Very Concrete
beard,removed,4.96,Very Concrete
beast,removed,4.63,Very Concrete
beg,removed,2.96,Abstract
berry,removed,4.93,Very Concrete
best,removed,1.60,Very Abstract
bicycle,removed,4.89,Very Concrete
bitter,removed,2.93,Abstract
blade,removed,4.93,Very Concrete
bleed,removed,4.40,Concrete
boast,removed,2.32,Abstract
boil,removed,4.20,Concrete
bold,removed,2.43,Abstract
bow,removed,4.61,Very Concrete
brass,removed,4.70,Very Concrete
brave,removed,2.26,Abstract
bravery,removed,1.96,Very Abstract
breadth,removed,2.23,Abstract
bribe,removed,3.44,Moderate
bribery,removed,2.89,Abstract
brick,removed,4.83,Very Concrete
brighten,removed,3.41,Moderate
bucket,removed,4.96,Very Concrete
bundle,removed,4.22,Concrete
bush,removed,4.90,Very Concrete
businesslike,removed,2.52,Abstract
businessman,removed,4.47,Concrete
butter,removed,4.90,Very Concrete
cage,removed,5.00,Very Concrete
calculation,removed,3.00,Abstract
calculator,removed,4.86,Very Concrete
canal,removed,4.68,Very Concrete
cape,removed,4.77,Very Concrete
captain,removed,4.19,Concrete
carriage,removed,4.86,Very Concrete
cart,removed,4.89,Very Concrete
cattle,removed,4.64,Very Concrete
caution,removed,2.04,Abstract
cautious,removed,1.81,Very Abstract
cave,removed,4.96,Very Concrete
certainty,removed,1.59,Very Abstract
chalk,removed,4.90,Very Concrete
cheat,removed,2.23,Abstract
cheer,removed,2.77,Abstract
chimney,removed,5.00,Very Concrete
christmas,removed,3.41,Moderate
circular,removed,3.79,Moderate
civilize,removed,1.90,Very Abstract
classification,removed,2.52,Abstract
classify,removed,2.41,Abstract
clay,removed,4.93,Very Concrete
clerk,removed,4.28,Concrete
clever,removed,1.79,Very Abstract
cliff,removed,4.71,Very Concrete
cloth,removed,4.90,Very Concrete
coarse,removed,3.25,Moderate
collar,removed,4.64,Very Concrete
collector,removed,4.10,Concrete
colony,removed,3.77,Moderate
comb,removed,5.00,Very Concrete
commerce,removed,2.76,Abstract
companion,removed,3.75,Moderate
companionship,removed,2.45,Abstract
completion,removed,2.33,Abstract
complication,removed,1.86,Very Abstract
confess,removed,2.57,Abstract
confession,removed,2.40,Abstract
confidential,removed,2.08,Abstract
congratulate,removed,3.04,Moderate
congratulation,removed,2.27,Abstract
conquer,removed,2.90,Abstract
conqueror,removed,3.54,Moderate
conquest,removed,2.54,Abstract
conscience,removed,1.96,Very Abstract
conscious,removed,2.03,Abstract
convenience,removed,2.04,Abstract
convenient,removed,1.85,Very Abstract
copper,removed,4.52,Very Concrete
cork,removed,4.86,Very Concrete
corn,removed,4.96,Very Concrete
correction,removed,3.00,Abstract
cottage,removed,4.85,Very Concrete
cotton,removed,4.97,Very Concrete
courage,removed,1.52,Very Abstract
coward,removed,2.93,Abstract
cowardice,removed,2.10,Abstract
creep,removed,3.38,Moderate
crown,removed,4.81,Very Concrete
cruel,removed,2.11,Abstract
crush,removed,3.90,Moderate
cultivate,removed,3.14,Moderate
cultivation,removed,3.13,Moderate
cultivator,removed,3.79,Moderate
cupboard,removed,4.79,Very Concrete
cure,removed,2.41,Abstract
curl,removed,4.38,Concrete
curse,removed,2.39,Abstract
cushion,removed,4.68,Very Concrete
customary,removed,1.85,Very Abstract
damp,removed,3.81,Moderate
darken,removed,3.30,Moderate
daylight,removed,4.10,Concrete
deaf,removed,3.27,Moderate
deafen,removed,3.11,Moderate
decay,removed,3.89,Moderate
deceit,removed,2.37,Abstract
deceive,removed,1.68,Very Abstract
decisive,removed,2.16,Abstract
deed,removed,3.86,Moderate
deepen,removed,3.20,Moderate
deer,removed,4.86,Very Concrete
defendant,removed,3.80,Moderate
delicate,removed,2.30,Abstract
dependence,removed,2.15,Abstract
descend,removed,3.18,Moderate
descendant,removed,3.53,Moderate
descent,removed,3.00,Abstract
despair,removed,2.21,Abstract
destructive,removed,2.17,Abstract
devil,removed,3.41,Moderate
diamond,removed,4.89,Very Concrete
dictionary,removed,4.62,Very Concrete
dine,removed,3.37,Moderate
dip,removed,4.22,Concrete
dirt,removed,4.86,Very Concrete
disappearance,removed,2.40,Abstract
disapprove,removed,1.89,Very Abstract
discomfort,removed,2.28,Abstract
discontent,removed,1.93,Very Abstract
disgust,removed,2.19,Abstract
disregard,removed,1.90,Very Abstract
disrespect,removed,1.93,Very Abstract
dissatisfaction,removed,1.96,Very Abstract
dissatisfy,removed,2.14,Abstract
ditch,removed,4.50,Concrete
dive,removed,4.03,Concrete
donkey,removed,5.00,Very Concrete
dot,removed,4.12,Concrete
drawer,removed,4.67,Very Concrete
drown,removed,3.93,Moderate
drum,removed,4.96,Very Concrete
duck,removed,4.86,Very Concrete
dull,removed,2.37,Abstract
eager,removed,1.93,Very Abstract
earnest,removed,2.24,Abstract
educator,removed,4.00,Moderate
elastic,removed,3.73,Moderate
elder,removed,3.59,Moderate
electrician,removed,4.21,Concrete
elephant,removed,5.00,Very Concrete
enclose,removed,2.96,Abstract
enclosure,removed,4.04,Concrete
envy,removed,1.69,Very Abstract
essence,removed,1.66,Very Abstract
everlasting,removed,1.89,Very Abstract
excellence,removed,2.20,Abstract
excessive,removed,2.25,Abstract
explode,removed,4.10,Concrete
explosion,removed,4.52,Very Concrete
explosive,removed,3.74,Moderate
faint,removed,3.74,Moderate
fame,removed,1.96,Very Abstract
fasten,removed,4.14,Concrete
fate,removed,1.53,Very Abstract
fatten,removed,3.23,Moderate
feast,removed,4.30,Concrete
feather,removed,4.90,Very Concrete
fellowship,removed,2.28,Abstract
fever,removed,3.27,Moderate
fierce,removed,2.62,Abstract
flame,removed,4.67,Very Concrete
flatten,removed,3.86,Moderate
flavor,removed,3.55,Moderate
flesh,removed,4.59,Very Concrete
flour,removed,4.97,Very Concrete
fond,removed,1.68,Very Abstract
forbid,removed,1.96,Very Abstract
forgive,removed,1.92,Very Abstract
fork,removed,4.90,Very Concrete
fright,removed,2.52,Abstract
fry,removed,4.37,Concrete
funeral,removed,3.83,Moderate
fur,removed,4.69,Very Concrete
furnish,removed,3.75,Moderate
gallon,removed,3.92,Moderate
garage,removed,4.96,Very Concrete
generous,removed,2.25,Abstract
glory,removed,1.45,Very Abstract
goat,removed,5.00,Very Concrete
grace,removed,1.78,Very Abstract
gradual,removed,1.90,Very Abstract
grammatical,removed,2.33,Abstract
grave,removed,4.56,Very Concrete
grease,removed,4.61,Very Concrete
greed,removed,1.53,Very Abstract
guilt,removed,1.93,Very Abstract
hammer,removed,4.77,Very Concrete
handkerchief,removed,5.00,Very Concrete
handshake,removed,4.52,Very Concrete
handwrite,removed,3.85,Moderate
harden,removed,3.36,Moderate
harvest,removed,4.00,Moderate
haste,removed,2.29,Abstract
hasten,removed,2.22,Abstract
hatred,removed,2.00,Very Abstract
hay,removed,4.87,Very Concrete
headache,removed,3.90,Moderate
headdress,removed,4.71,Very Concrete
heal,removed,3.03,Moderate
heap,removed,3.90,Moderate
heaven,removed,1.81,Very Abstract
heavenly,removed,1.50,Very Abstract
heighten,removed,2.52,Abstract
hesitation,removed,2.59,Abstract
highway,removed,4.72,Very Concrete
hind,removed,3.96,Moderate
hindrance,removed,2.07,Abstract
hollow,removed,3.61,Moderate
holy,removed,1.67,Very Abstract
homecoming,removed,3.08,Moderate
homemade,removed,2.90,Abstract
homework,removed,4.50,Concrete
honesty,removed,1.59,Very Abstract
horizon,removed,4.44,Concrete
horizontal,removed,3.46,Moderate
humble,removed,1.73,Very Abstract
hurrah,removed,3.07,Moderate
hut,removed,4.65,Very Concrete
idle,removed,2.79,Abstract
imaginary,removed,1.74,Very Abstract
imaginative,removed,1.82,Very Abstract
imitate,removed,2.66,Abstract
imitation,removed,2.83,Abstract
immense,removed,2.21,Abstract
inclusive,removed,1.64,Very Abstract
indoor,removed,3.64,Moderate
influential,removed,1.86,Very Abstract
ink,removed,4.56,Very Concrete
inn,removed,4.64,Very Concrete
inquire,removed,2.38,Abstract
insect,removed,4.89,Very Concrete
instant,removed,2.70,Abstract
insult,removed,2.79,Abstract
interfere,removed,2.59,Abstract
interference,removed,2.93,Abstract
interrupt,removed,3.00,Abstract
interruption,removed,2.75,Abstract
invention,removed,3.48,Moderate
inventor,removed,3.82,Moderate
inward,removed,2.43,Abstract
jaw,removed,4.87,Very Concrete
jealous,removed,2.17,Abstract
jealousy,removed,1.80,Very Abstract
jewel,removed,4.96,Very Concrete
juice,removed,4.89,Very Concrete
kingdom,removed,3.76,Moderate
kneel,removed,4.31,Concrete
knot,removed,4.87,Very Concrete
ladder,removed,5.00,Very Concrete
lamp,removed,4.97,Very Concrete
landlord,removed,4.66,Very Concrete
lately,removed,1.41,Very Abstract
leaf,removed,5.00,Very Concrete
lengthen,removed,3.47,Moderate
lessen,removed,2.23,Abstract
liar,removed,3.43,Moderate
liberty,removed,1.85,Very Abstract
librarian,removed,4.40,Concrete
lid,removed,4.96,Very Concrete
lighten,removed,2.93,Abstract
limb,removed,4.64,Very Concrete
lipstick,removed,4.90,Very Concrete
loaf,removed,4.79,Very Concrete
lodge,removed,4.00,Moderate
lonely,removed,2.19,Abstract
loosen,removed,3.24,Moderate
lord,removed,3.04,Moderate
loyal,removed,1.69,Very Abstract
loyalty,removed,1.57,Very Abstract
lump,removed,4.56,Very Concrete
lung,removed,4.82,Very Concrete
machinery,removed,4.75,Very Concrete
mankind,removed,2.97,Abstract
mat,removed,4.83,Very Concrete
meantime,removed,1.87,Very Abstract
mechanic,removed,4.38,Concrete
melt,removed,3.96,Moderate
mend,removed,3.50,Moderate
merchant,removed,4.31,Concrete
mercy,removed,1.57,Very Abstract
merry,removed,2.41,Abstract
messenger,removed,3.89,Moderate
mild,removed,2.48,Abstract
mill,removed,4.72,Very Concrete
mineral,removed,4.41,Concrete
miserable,removed,1.97,Very Abstract
misery,removed,2.04,Abstract
moderation,removed,1.90,Very Abstract
modest,removed,2.21,Abstract
modesty,removed,2.23,Abstract
momentary,removed,1.93,Very Abstract
monkey,removed,4.90,Very Concrete
moonlight,removed,4.43,Concrete
motherhood,removed,3.00,Abstract
motherly,removed,2.46,Abstract
mud,removed,4.86,Very Concrete
multiplication,removed,3.46,Moderate
multiply,removed,2.79,Abstract
nail,removed,4.93,Very Concrete
neat,removed,2.47,Abstract
necessity,removed,2.08,Abstract
needle,removed,4.93,Very Concrete
nephew,removed,4.48,Concrete
nest,removed,4.86,Very Concrete
niece,removed,4.28,Concrete
noble,removed,1.89,Very Abstract
noon,removed,2.67,Abstract
notebook,removed,4.92,Very Concrete
nuisance,removed,2.19,Abstract
nursery,removed,4.48,Concrete
nut,removed,4.52,Very Concrete
oar,removed,4.84,Very Concrete
obedience,removed,2.29,Abstract
obedient,removed,1.93,Very Abstract
obey,removed,2.67,Abstract
objection,removed,2.29,Abstract
offend,removed,1.68,Very Abstract
omission,removed,1.89,Very Abstract
omit,removed,2.14,Abstract
organ,removed,4.77,Very Concrete
ornament,removed,4.04,Concrete
ounce,removed,3.86,Moderate
outward,removed,2.79,Abstract
overflow,removed,3.72,Moderate
pad,removed,4.43,Concrete
pan,removed,4.86,Very Concrete
parcel,removed,4.81,Very Concrete
pardon,removed,2.24,Abstract
particle,removed,3.78,Moderate
paste,removed,4.45,Concrete
pastry,removed,4.97,Very Concrete
patience,removed,1.66,Very Abstract
patriotic,removed,1.90,Very Abstract
paw,removed,4.30,Concrete
pearl,removed,4.87,Very Concrete
peculiar,removed,1.95,Very Abstract
pencil,removed,4.88,Very Concrete
penny,removed,4.83,Very Concrete
perfection,removed,1.90,Very Abstract
persuasion,removed,1.90,Very Abstract
pet,removed,4.71,Very Concrete
photography,removed,4.10,Concrete
pigeon,removed,4.71,Very Concrete
pin,removed,4.92,Very Concrete
pinch,removed,4.00,Moderate
pint,removed,4.43,Concrete
pity,removed,1.87,Very Abstract
plaster,removed,4.59,Very Concrete
plow,removed,4.46,Concrete
plural,removed,2.59,Abstract
poison,removed,4.27,Concrete
polish,removed,4.23,Concrete
polite,removed,1.85,Very Abstract
possessor,removed,3.21,Moderate
postpone,removed,2.29,Abstract
powder,removed,4.76,Very Concrete
preach,removed,3.37,Moderate
precious,removed,2.00,Very Abstract
prejudice,removed,2.22,Abstract
pretense,removed,1.76,Very Abstract
prevention,removed,2.20,Abstract
priest,removed,4.77,Very Concrete
probable,removed,1.48,Very Abstract
procession,removed,3.21,Moderate
pronounce,removed,2.63,Abstract
pronunciation,removed,2.54,Abstract
punctual,removed,1.87,Very Abstract
punish,removed,2.66,Abstract
purple,removed,4.04,Concrete
puzzle,removed,4.75,Very Concrete
quarrel,removed,3.32,Moderate
quart,removed,4.57,Very Concrete
queen,removed,4.45,Concrete
rabbit,removed,4.93,Very Concrete
railroad,removed,5.00,Very Concrete
rake,removed,4.84,Very Concrete
ray,removed,3.57,Moderate
razor,removed,4.90,Very Concrete
receipt,removed,4.86,Very Concrete
redden,removed,3.42,Moderate
refresh,removed,2.63,Abstract
rejoice,removed,2.17,Abstract
relieve,removed,2.47,Abstract
remedy,removed,2.96,Abstract
repetition,removed,3.17,Moderate
reproduce,removed,3.48,Moderate
reproduction,removed,2.92,Abstract
republic,removed,2.81,Abstract
revenge,removed,1.54,Very Abstract
ribbon,removed,4.89,Very Concrete
ripe,removed,3.30,Moderate
ripen,removed,3.31,Moderate
rivalry,removed,2.14,Abstract
roar,removed,3.81,Moderate
roast,removed,4.40,Concrete
rob,removed,3.48,Moderate
robbery,removed,3.93,Moderate
rod,removed,4.43,Concrete
rope,removed,4.93,Very Concrete
rot,removed,3.96,Moderate
rotten,removed,3.87,Moderate
royalty,removed,3.11,Moderate
rub,removed,4.33,Concrete
rubber,removed,4.86,Very Concrete
rubbish,removed,3.64,Moderate
rude,removed,2.52,Abstract
rug,removed,4.79,Very Concrete
rust,removed,4.52,Very Concrete
sacred,removed,1.77,Very Abstract
sacrifice,removed,2.80,Abstract
sadden,removed,2.44,Abstract
saddle,removed,4.85,Very Concrete
sailor,removed,4.86,Very Concrete
salesman,removed,4.81,Very Concrete
satisfactory,removed,1.80,Very Abstract
sauce,removed,4.75,Very Concrete
saucer,removed,4.79,Very Concrete
saw,removed,4.46,Concrete
scarce,removed,2.57,Abstract
scatter,removed,3.55,Moderate
scenery,removed,3.38,Moderate
scent,removed,3.97,Moderate
scissor,removed,4.90,Very Concrete
scold,removed,3.07,Moderate
scorn,removed,2.59,Abstract
scrape,removed,4.15,Concrete
scratch,removed,4.16,Concrete
screw,removed,4.81,Very Concrete
secrecy,removed,2.00,Very Abstract
seize,removed,3.97,Moderate
seldom,removed,1.38,Very Abstract
selfish,removed,1.92,Very Abstract
separation,removed,2.96,Abstract
sew,removed,3.93,Moderate
shallow,removed,3.45,Moderate
shame,removed,2.24,Abstract
sharpen,removed,3.72,Moderate
shave,removed,4.23,Concrete
shield,removed,4.66,Very Concrete
shorten,removed,3.11,Moderate
signature,removed,4.43,Concrete
silk,removed,4.70,Very Concrete
simplicity,removed,1.96,Very Abstract
sincere,removed,1.81,Very Abstract
slavery,removed,3.11,Moderate
slippery,removed,3.94,Moderate
snake,removed,5.00,Very Concrete
soap,removed,4.93,Very Concrete
sock,removed,4.91,Very Concrete
soften,removed,2.57,Abstract
solemn,removed,1.52,Very Abstract
sometime,removed,1.47,Very Abstract
sore,removed,3.23,Moderate
sorrow,removed,2.36,Abstract
soup,removed,4.72,Very Concrete
sour,removed,3.14,Moderate
sow,removed,4.04,Concrete
spade,removed,4.46,Concrete
spill,removed,4.07,Concrete
spit,removed,4.71,Very Concrete
spite,removed,2.07,Abstract
splendid,removed,1.79,Very Abstract
spoil,removed,2.82,Abstract
spoon,removed,4.96,Very Concrete
steam,removed,4.50,Concrete
steep,removed,3.76,Moderate
steer,removed,4.19,Concrete
stiff,removed,3.62,Moderate
stiffen,removed,3.82,Moderate
sting,removed,4.41,Concrete
stove,removed,4.96,Very Concrete
straighten,removed,3.72,Moderate
strap,removed,4.79,Very Concrete
straw,removed,4.77,Very Concrete
stripe,removed,4.72,Very Concrete
suck,removed,3.46,Moderate
supper,removed,4.63,Very Concrete
suspicion,removed,1.62,Very Abstract
suspicious,removed,1.87,Very Abstract
swallow,removed,3.89,Moderate
sweat,removed,4.71,Very Concrete
sweeten,removed,3.62,Moderate
swell,removed,3.31,Moderate
sword,removed,4.93,Very Concrete
sympathetic,removed,1.77,Very Abstract
sympathy,removed,1.88,Very Abstract
tailor,removed,4.67,Very Concrete
tame,removed,2.04,Abstract
telegraph,removed,4.59,Very Concrete
temper,removed,2.56,Abstract
temple,removed,4.53,Very Concrete
tempt,removed,2.10,Abstract
theatrical,removed,2.18,Abstract
these,removed,2.03,Abstract
thicken,removed,3.52,Moderate
thief,removed,4.37,Concrete
thorn,removed,5.00,Very Concrete
thorough,removed,1.66,Very Abstract
those,removed,2.32,Abstract
thread,removed,4.83,Very Concrete
thumb,removed,4.96,Very Concrete
thunder,removed,4.34,Concrete
tide,removed,4.10,Concrete
tidy,removed,3.03,Moderate
tighten,removed,3.33,Moderate
tin,removed,4.87,Very Concrete
tobacco,removed,4.88,Very Concrete
toe,removed,4.93,Very Concrete
ton,removed,4.17,Concrete
towel,removed,4.86,Very Concrete
translation,removed,2.96,Abstract
translator,removed,3.86,Moderate
tray,removed,4.74,Very Concrete
treasure,removed,4.32,Concrete
treasury,removed,3.33,Moderate
tremble,removed,3.61,Moderate
tribe,removed,4.14,Concrete
trunk,removed,4.71,Very Concrete
umbrella,removed,5.00,Very Concrete
underneath,removed,3.71,Moderate
unity,removed,2.23,Abstract
uppermost,removed,2.70,Abstract
upright,removed,3.59,Moderate
urgent,removed,2.36,Abstract
vain,removed,1.91,Very Abstract
veil,removed,4.45,Concrete
verse,removed,3.19,Moderate
virtue,removed,1.62,Very Abstract
vowel,removed,3.80,Moderate
voyage,removed,3.43,Moderate
waist,removed,4.72,Very Concrete
waiter,removed,4.67,Very Concrete
warmth,removed,3.39,Moderate
wax,removed,4.97,Very Concrete
weaken,removed,2.37,Abstract
weave,removed,4.20,Concrete
weed,removed,4.90,Very Concrete
weekday,removed,3.18,Moderate
wheat,removed,4.89,Very Concrete
whichever,removed,1.30,Very Abstract
whip,removed,4.68,Very Concrete
whistle,removed,4.42,Concrete
whiten,removed,3.56,Moderate
whoever,removed,1.93,Very Abstract
whom,removed,1.93,Very Abstract
whose,removed,1.68,Very Abstract
wicked,removed,2.11,Abstract
widen,removed,3.21,Moderate
widow,removed,4.33,Concrete
widower,removed,3.96,Moderate
width,removed,3.64,Moderate
wisdom,removed,1.53,Very Abstract
wool,removed,4.86,Very Concrete
woolen,removed,3.86,Moderate
worm,removed,4.90,Very Concrete
worship,removed,2.62,Abstract
wreck,removed,4.07,Concrete
wrist,removed,4.93,Very Concrete
zero,removed,2.86,Abstract
